Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,970.650024,976.150024,934.599976,937.349976,882.473755,2151834
2018-09-11,943.000000,961.000000,936.299988,943.150024,887.934326,3909701
2018-09-12,948.450012,951.000000,912.400024,938.150024,883.226990,2787531
2018-09-14,941.200012,954.799988,928.049988,951.900024,896.171936,2803861
2018-09-17,947.650024,956.400024,936.599976,950.849976,895.183350,1978897
2018-09-18,949.450012,961.000000,940.400024,946.549988,891.135254,2227889
2018-09-19,947.000000,965.650024,938.200012,948.900024,893.347595,2083160
2018-09-21,963.000000,976.700012,870.000000,959.900024,903.703735,4633394
2018-09-24,955.000000,958.200012,885.000000,896.049988,843.591675,4569708
2018-09-25,896.000000,900.000000,865.250000,893.000000,840.720276,4269089
2018-09-26,903.000000,917.849976,885.299988,893.349976,841.049683,2357565
2018-09-27,888.000000,895.450012,866.500000,877.450012,826.080566,2588148
2018-09-28,877.450012,880.950012,839.549988,860.950012,810.546509,4188699
2018-10-01,860.500000,864.450012,840.950012,847.599976,797.978088,3060818
2018-10-03,845.500000,845.500000,787.000000,791.599976,745.256531,6680994
2018-10-04,780.150024,800.000000,765.450012,794.700012,748.175110,5036305
2018-10-05,791.000000,795.750000,752.900024,769.549988,724.497437,5157618
2018-10-08,768.750000,780.950012,753.299988,774.849976,729.487122,3874262
2018-10-09,775.549988,782.450012,760.299988,764.799988,720.025574,2933355
2018-10-10,768.000000,774.599976,750.900024,764.099976,719.366516,7578601
2018-10-11,747.000000,756.500000,715.000000,730.150024,687.404175,6199047
2018-10-12,738.500000,775.900024,735.549988,768.500000,723.508911,4477653
2018-10-15,775.000000,775.450012,738.000000,749.000000,705.150513,5282462
2018-10-16,753.599976,780.000000,750.099976,777.700012,732.170410,4357854
2018-10-17,789.200012,790.750000,751.200012,759.400024,714.941772,2634539
2018-10-19,748.099976,758.000000,732.099976,741.200012,697.807251,2985488
2018-10-22,747.000000,749.000000,731.000000,733.750000,690.793335,1842855
2018-10-23,730.500000,734.400024,716.200012,729.950012,687.215820,2967082
2018-10-24,740.799988,749.200012,725.650024,736.250000,693.146973,3729119
2018-10-25,728.000000,744.500000,724.000000,733.750000,690.793335,3966709
2018-10-26,731.000000,741.799988,722.700012,728.200012,685.568237,1813847
2018-10-29,728.000000,752.849976,728.000000,749.500000,705.621338,1954444
2018-10-30,751.000000,762.750000,737.000000,746.299988,702.608643,2756355
2018-10-31,749.000000,769.099976,735.150024,765.950012,721.108215,3093083
2018-11-01,770.500000,778.700012,751.000000,756.049988,711.787781,4171044
2018-11-02,765.049988,795.900024,765.049988,783.549988,737.677795,4117317
2018-11-05,784.000000,784.650024,770.000000,775.450012,730.052002,2168486
2018-11-06,780.000000,782.000000,768.849976,778.400024,732.829407,1839552
2018-11-07,788.000000,794.000000,783.650024,792.900024,746.480530,731279
2018-11-09,800.000000,805.900024,791.000000,795.250000,748.692871,3085813
2018-11-12,798.000000,807.700012,778.099976,780.900024,735.182983,2101138
2018-11-13,775.500000,793.799988,773.849976,790.049988,743.797363,3010295
2018-11-14,793.099976,797.400024,765.500000,769.599976,724.544495,4237768
2018-11-15,774.000000,775.799988,755.000000,766.500000,721.625977,4315301
2018-11-16,767.650024,776.500000,759.750000,767.599976,722.661560,2373384
2018-11-19,775.299988,783.599976,770.099976,781.349976,735.606628,2681651
2018-11-20,780.000000,792.400024,773.349976,782.599976,736.783447,2902880
2018-11-21,787.799988,787.799988,764.700012,769.099976,724.073853,1851514
